epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,200.186,0.41659,0.31954,0.35779,0.86516,0.98841,0.8,0.90342,0.8123,0.98841,0.8,0.94942,0.86647,0.54689,0.55814,0.59283,0.91792,0.00185348,0.00185348,0.00185348
76,202.592,0.42297,0.30134,0.35648,0.87057,0.97956,0.8,0.89522,0.77922,0.97956,0.8,0.92659,0.84929,0.57107,0.6772,0.63263,0.9254,0.0018515,0.0018515,0.0018515
77,204.942,0.45073,0.28097,0.35672,0.87523,0.9717,0.8,0.90158,0.79814,0.9717,0.8,0.94629,0.85626,0.495,0.65825,0.54091,0.87848,0.00184952,0.00184952,0.00184952
78,207.227,0.44606,0.28413,0.3612,0.89048,1,0.85934,0.90905,0.82861,1,0.85934,0.95865,0.86755,0.56504,0.60455,0.66141,0.92591,0.00184754,0.00184754,0.00184754
79,209.544,0.44238,0.30883,0.35784,0.87615,0.97991,0.86667,0.87556,0.77612,0.97991,0.86667,0.91925,0.85432,0.60386,0.65529,0.60513,0.98273,0.00184556,0.00184556,0.00184556
80,211.742,0.47192,0.32173,0.37118,0.88397,0.99579,0.86667,0.92306,0.80711,0.99579,0.86667,0.92306,0.86505,0.57367,0.68598,0.62578,0.99011,0.00184358,0.00184358,0.00184358
81,214.299,0.49679,0.36133,0.38366,0.88109,0.93263,0.92345,0.95283,0.79123,0.93263,0.92345,0.93285,0.87347,0.61895,0.60714,0.60657,1.09246,0.0018416,0.0018416,0.0018416
82,216.504,0.44515,0.31316,0.36754,0.87244,0.92937,0.87789,0.93264,0.77121,0.92937,0.87789,0.93343,0.8545,0.68074,0.55998,0.71154,1.09859,0.00183962,0.00183962,0.00183962
83,218.693,0.50657,0.4108,0.40749,0.87633,1,0.90584,0.94669,0.82369,1,0.90584,0.94669,0.87916,0.61273,0.47978,0.59319,1.11836,0.00183764,0.00183764,0.00183764
84,220.847,0.4347,0.36636,0.37273,0.87737,0.92828,0.93333,0.93995,0.83511,0.92828,0.93333,0.93995,0.80438,0.53125,0.94431,0.51679,1.01007,0.00183566,0.00183566,0.00183566
85,223.138,0.43742,0.41842,0.36807,0.88504,0.99797,0.93333,0.96071,0.85067,0.99797,0.93333,0.96071,0.8837,0.53412,0.64663,0.45166,0.97874,0.00183368,0.00183368,0.00183368
86,225.497,0.41894,0.35529,0.3386,0.87644,0.96674,0.93333,0.95337,0.83103,0.96674,0.93333,0.95337,0.85134,0.54635,0.53616,0.44219,0.98404,0.0018317,0.0018317,0.0018317
87,227.734,0.41483,0.34771,0.34316,0.87284,1,0.86465,0.947,0.83723,1,0.86465,0.947,0.83169,0.47363,0.59805,0.47467,0.97049,0.00182972,0.00182972,0.00182972
88,229.967,0.44971,0.37152,0.3493,0.86862,1,0.928,0.94631,0.88513,1,0.928,0.94631,0.90213,0.46115,0.58417,0.47921,0.92769,0.00182774,0.00182774,0.00182774
89,232.24,0.38061,0.31154,0.33441,0.85932,1,0.8654,0.92792,0.85976,1,0.8654,0.92792,0.88498,0.52345,0.57665,0.56762,0.8825,0.00182576,0.00182576,0.00182576
90,234.567,0.40995,0.30935,0.33218,0.87132,1,0.8662,0.88143,0.85359,1,0.8662,0.914,0.82833,0.44414,0.77056,0.45315,0.83614,0.00182378,0.00182378,0.00182378
91,236.881,0.41456,0.30898,0.33806,0.86756,0.99617,0.86667,0.87278,0.8133,0.99617,0.86667,0.87278,0.81716,0.47296,0.71964,0.47238,0.86519,0.0018218,0.0018218,0.0018218
92,239.13,0.41249,0.31018,0.33952,0.87727,0.99496,0.86667,0.87379,0.80012,0.99496,0.86667,0.87379,0.8501,0.51957,0.66517,0.451,0.87485,0.00181982,0.00181982,0.00181982
93,241.856,0.4309,0.36277,0.3748,0.87648,0.99215,0.86667,0.87241,0.82344,0.99215,0.86667,0.87241,0.85779,0.4799,0.86213,0.506,0.85306,0.00181784,0.00181784,0.00181784
94,244.493,0.38036,0.30266,0.32948,0.87013,0.98601,0.86667,0.86946,0.82135,0.98601,0.86667,0.86946,0.84762,0.54026,0.66048,0.65254,0.85099,0.00181586,0.00181586,0.00181586
95,247.329,0.4107,0.33074,0.36481,0.87195,0.92446,0.86667,0.87726,0.7853,0.92446,0.86667,0.87726,0.85158,0.51455,0.50563,0.51337,0.86985,0.00181388,0.00181388,0.00181388
96,249.772,0.40767,0.36316,0.35158,0.88258,0.99529,0.86667,0.90347,0.8178,0.99529,0.86667,0.89509,0.86307,0.50693,0.68037,0.46253,0.91303,0.0018119,0.0018119,0.0018119
97,252.254,0.41757,0.37746,0.34741,0.87089,0.99518,0.86667,0.88092,0.82219,0.99518,0.86667,0.88092,0.84649,0.50349,0.77968,0.48032,0.91871,0.00180992,0.00180992,0.00180992
98,254.866,0.38515,0.34024,0.33631,0.85346,0.99564,0.86667,0.87307,0.82143,0.99564,0.86667,0.87181,0.85603,0.45136,0.73982,0.4193,0.86041,0.00180794,0.00180794,0.00180794
99,257.255,0.38378,0.31054,0.31375,0.86423,0.99556,0.86667,0.87083,0.8195,0.99556,0.86667,0.86827,0.85431,0.47555,0.84626,0.42902,0.87225,0.00180596,0.00180596,0.00180596
100,259.454,0.40357,0.31345,0.33349,0.87553,0.99547,0.86667,0.87627,0.81577,0.99547,0.86667,0.86925,0.85485,0.48582,0.82322,0.48405,0.87232,0.00180398,0.00180398,0.00180398
101,261.652,0.42473,0.3267,0.31849,0.87071,0.99562,0.86667,0.91162,0.82111,0.99562,0.86667,0.91162,0.86385,0.47622,0.80533,0.39876,0.86838,0.001802,0.001802,0.001802
102,263.882,0.3919,0.30288,0.32092,0.85028,0.99414,0.86667,0.87768,0.82679,0.99414,0.86667,0.87768,0.86194,0.46969,0.72577,0.42148,0.85199,0.00180002,0.00180002,0.00180002
103,266.009,0.41484,0.31691,0.34319,0.86553,0.97943,0.86667,0.90467,0.84258,0.97943,0.86667,0.90851,0.864,0.49597,0.67749,0.5059,0.86647,0.00179804,0.00179804,0.00179804
